CodeIndex,Printer,InkCode,Inventory,IT-Warehouse,Admin,Account,CTU,EI,IT,Estate,MolEPI,BioStats,Modelling,PE,Malaria,CNS,Dengue,TB,Lab,MicroLab,Zoonoses,VA-ward,InkTotal,OrderQuantity,OrderDate,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
T6782,EPSON WP-4511 color,T6782,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
T6783,EPSON WP-4511 color,T6783,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
T6784,EPSON WP-4511 color,T6784,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
W1107A,HP LaserJet 107W ,W1107A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
337,CANON MF241d,337,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
054BK,CANON LBP-623CDW,054BK,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
054C,CANON LBP-623CDW,054C,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
054M,CANON LBP-623CDW,054M,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
054Y,CANON LBP-623CDW,054Y,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
W2040A,M454dw color,W2040A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
W2041A,M454dw color,W2041A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
W2042A,M454dw color,W2042A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
W2043A,M454dw color,W2043A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
